"Data de Ocorrência",Monitoramento,Servico,"Manifestações Quantidade","Usuário","Título","Conteúdo",Link,"Tipo Conteudo","Manifestacoes Detalhado","data_ultima_atualizacao",datacoleta
"2025-03-22T07:40:00.000Z","Combate à violência contra a mulher","YouTube - Vídeos",887303,"AI_reelhub","What If a Giant Wave Hit the Great Wall?","This video is AI-generated and does not depict real events. It is created for entertainment and visual effects #AIgenerated ...","http://www.youtube.com/watch?v=9LmMVX1Be1g","Vídeo","{""favorites"":0,""comments"":28,""views"":877062,""likes"":10213}","2025-03-28T08:25:58.000Z","2025-03-28T08:25:55.000Z"
"2025-03-22T16:27:09.000Z","Igualdade Racial ",X,879839,rayescapism,,"@cinnamowony vc achando racismo legal https://x.com/aiTunesOF/status/1791542559824654597/video/1","https://twitter.com/i/web/status/1903528895137095901",Resposta,"{""favorites"":0,""replies"":0,""retweets"":0,""videoViews"":879839,""quotes"":0}","2025-03-22T19:42:16.000Z","2025-03-22T16:27:18.000Z"
"2025-03-20T15:34:36.000Z","Desinformação em Políticas Públicas",X,872889,"claracacau_",,"Hoje o filho de uma professora minha da escola (que era um mulekote miudinho qdo ela dava aula pra mim no ensino médio), fez 18 anos hoje. Tô me sentindo uma cacura véia https://x.com/acervogeral/status/1511059845612544012/video/1","https://twitter.com/i/web/status/1902790897613295848","Vídeo","{""favorites"":0,""replies"":1,""retweets"":0,""videoViews"":872888,""quotes"":0}","2025-03-20T18:44:26.000Z","2025-03-20T15:34:55.000Z"
"2025-03-20T15:34:36.000Z","Proteção e Inclusão Vulneraveis: ",X,872889,"claracacau_",,"Hoje o filho de uma professora minha da escola (que era um mulekote miudinho qdo ela dava aula pra mim no ensino médio), fez 18 anos hoje. Tô me sentindo uma cacura véia https://x.com/acervogeral/status/1511059845612544012/video/1","https://twitter.com/i/web/status/1902790897613295848","Vídeo","{""favorites"":0,""replies"":1,""retweets"":0,""videoViews"":872888,""quotes"":0}","2025-03-20T18:44:26.000Z","2025-03-20T15:34:55.000Z"
"2025-03-18T16:44:20.000Z","Desinformação em Políticas Públicas",X,872030,Rickf0rdy,,"@Boxreport Até porque esse foi um filme que REALMENTE passou por um milhão de refilmagens né Portal, diferente de Capitão 4 que viveu afundado nas fake news https://x.com/ZeglerSource/status/1871973812247658992/video/1","https://twitter.com/i/web/status/1902083670573486189",Resposta,"{""favorites"":10,""replies"":1,""retweets"":0,""videoViews"":872019,""quotes"":0}","2025-03-18T22:38:47.000Z","2025-03-18T16:52:13.000Z"
"2025-03-30T00:27:36.000Z","Combate à violência contra a mulher",X,870017,intakbiquinhos,,"não aguento quando metem pauta feminista em uma coisa tao ? misoginia isso machismo aquilo https://x.com/bestoftulla/status/1289274548685217798/video/1","https://twitter.com/i/web/status/1906186521641717818","Vídeo","{""favorites"":1,""replies"":0,""retweets"":0,""videoViews"":870016,""quotes"":0}","2025-03-30T03:52:15.000Z","2025-03-30T00:27:45.000Z"
"2025-03-18T12:25:14.000Z","Igualdade Racial ",X,867276,Phaternon,,"https://x.com/Renatoafjr/status/1901755342796546345/video/1 Lucas Almeida de Lima, 26 anos, foi agredido e executado a tiros por PMs durante uma abordagem em Barueri, São Paulo. Testemunhas afirmam que Lucas consertava a parte elétrica de um carro a pedido do proprietário quando a viatura parou.","https://twitter.com/i/web/status/1902018463696072901","Vídeo","{""favorites"":1,""replies"":0,""retweets"":0,""videoViews"":867275,""quotes"":0}","2025-03-18T15:32:28.000Z","2025-03-18T13:37:52.000Z"
"2025-03-31T10:03:37.000Z","Desinformação em Políticas Públicas",X,866721,marinhxjr,,"@euvilmareal e esse vídeo aqui da fake news? vc vai postar tbm adm? https://x.com/ApenasTatty/status/1900621945965613308/video/1","https://twitter.com/i/web/status/1906693866159313332",Resposta,"{""favorites"":0,""replies"":0,""retweets"":0,""videoViews"":866721,""quotes"":0}","2025-03-31T13:43:59.000Z","2025-03-31T10:03:46.000Z"
"2025-03-18T17:59:07.000Z","Igualdade Racial ",X,864322,RealAleSouza,,"Aí você vê porquê os times não são punidos por racismo. https://x.com/TNTSportsBR/status/1902006382913573240/video/1","https://twitter.com/i/web/status/1902102487793844699","Vídeo","{""favorites"":0,""replies"":0,""retweets"":0,""videoViews"":864322,""quotes"":0}","2025-03-18T23:03:35.000Z","2025-03-18T19:11:36.000Z"
"2025-03-26T14:39:10.000Z","Proteção e Inclusão Vulneraveis: ",X,858262,davizin27,,"Meu professor de penal 1 não corrigiu uma prova e trabalho meu pra dar nota O professor de penal 2 é um velho gagá que fica defendendo que não teve crime no 8 de janeiro Alguém me ajuda https://x.com/mosezinn/status/1879649764800934356/video/1","https://twitter.com/i/web/status/1904951272475623812","Vídeo","{""favorites"":1,""replies"":0,""retweets"":0,""videoViews"":858261,""quotes"":0}","2025-03-27T00:35:22.000Z","2025-03-26T14:39:16.000Z"
"2025-03-25T21:33:50.000Z","Proteção e Inclusão Vulneraveis: ",X,856683,floplatina,,"vamo Brasil, temos sangue de pele, Ronaldo, Romário, Ronaldinho gaúcho na veia porra https://x.com/siteptbr/status/1902744976640946276/video/1","https://twitter.com/i/web/status/1904693239296249962","Vídeo","{""favorites"":0,""replies"":0,""retweets"":0,""videoViews"":856683,""quotes"":0}","2025-03-26T01:17:24.000Z","2025-03-25T21:33:58.000Z"
"2025-03-25T21:19:24.000Z","Proteção e Inclusão Vulneraveis: ",X,853745,oyurinitto,,"Peguei a veia de uma paciente que eu não conseguia ver e nem palpar só pela anatomia do corpo https://x.com/siteptbr/status/1902744976640946276/video/1","https://twitter.com/i/web/status/1904689609004442073","Vídeo","{""favorites"":0,""replies"":0,""retweets"":0,""videoViews"":853745,""quotes"":0}","2025-03-26T01:06:02.000Z","2025-03-25T21:19:45.000Z"
